192	196	foto0-196.jpg	foto1-196.jpg	foto2-196.jpg	foto3-196.jpg	foto4-196.jpg	foto5-196.jpg					plano0-196.jpg					Vista Principal de las Construcciones	Vista Principal de las Construcciones	Vista hacia el frente donde se ubica la calle.	Vista engravada de Calle de acceso sin nombre	Interior de area de usos multiples	Interior de área de impartición de culto										1	1	189.133.87.176	dsl-189-133-87-176-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	41	2014-10-06 15:37:39
194	198	foto0-198.jpg	foto1-198.jpg	foto2-198.jpg	foto3-198.jpg							plano0-198.jpg					VISTA INTERIOR DEL PREDIO	VISTA INTERIOR DEL PREDIO	CALLE DE ACCESO FICUS	CALLE DE ACCESO DERECHO DE VIA CFE												1	1	189.133.88.15	dsl-189-133-88-15-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	41	2014-08-27 18:30:01
195	199	foto0-199.jpg	foto1-199.jpg	foto2-199.jpg	foto3-199.jpg	foto4-199.jpg	foto5-199.jpg					plano0-199.jpg					CALLE DE ACCESO (EN PROYECTO)	SALA-COMEDOR	COCINA	BAÑO	RECAMARA 1	RECAMARA 2										1	1	189.236.68.82	dsl-189-236-68-82-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	41	2014-08-16 01:16:48
196	200																															1	1			0	1970-01-01 00:00:00	0	1970-01-01 00:00:00
197	201	foto0-201.jpg															SALA COMEDOR															1	1	187.165.201.111	187-165-201-111.static.axtel.net	0	1970-01-01 00:00:00	50	2014-08-19 16:43:31
198	202																															1	1			0	1970-01-01 00:00:00	0	1970-01-01 00:00:00
199	203	foto0-203.jpg	foto1-203.jpg	foto2-203.jpg	foto3-203.jpg	foto4-203.jpg						plano0-203.jpg					Fachada Principal	Sala Comedor.	Recamara uno	Recamara Dos	Vista Panoramica											1	1	189.236.71.216	dsl-189-236-71-216-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	52	2014-08-28 22:05:35
200	204	foto0-204.jpg	foto1-204.jpg	foto2-204.jpg	foto3-204.jpg	foto4-204.jpg	foto5-204.jpg					plano0-204.jpeg					Entrada Principal	Fachada Casa de Losa de Concreto	Patio	Casa de Teja	Lateral de Casa Principal	Vista desde Calle G. Zamora										1	1	187.175.34.201	dsl-187-175-34-201-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-22 10:56:19
202	206											plano0-206.jpg																				1	1	187.175.58.74	dsl-187-175-58-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-21 22:39:37
203	207	foto0-207.jpg	foto1-207.jpg	foto2-207.jpg	foto3-207.jpg							plano0-207.jpg					Fachada	Interior	Vista lateral	Calle de acceso							Copia del plano.					1	1	189.243.91.172	dsl-189-243-91-172-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-24 21:35:23
204	208	foto0-208.jpg	foto1-208.jpg	foto2-208.jpg	foto3-208.jpg	foto4-208.jpg	foto5-208.jpg					plano0-208.jpg															Copia del plano					1	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-28 17:35:00
205	209	foto0-209.jpg										plano0-209.jpeg																				1	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	0	1970-01-01 00:00:00	9	2014-09-04 11:37:42
206	210																															1	1			0	1970-01-01 00:00:00	0	1970-01-01 00:00:00
207	211	foto0-211.jpg	foto1-211.jpg	foto2-211.jpg	foto3-211.jpg	foto4-211.jpg	foto5-211.jpg					plano0-211.jpg					Vista panorámica en el mes de mayo.	Vista panorámica en el mes de mayo	Vista Panoramica del Predio en el mes de mayo.	Vista Panorámica del Predio en el mes de agosto.	Vista panorámica en el mes de agosto.	Vista panorámica en el mes de agosto.										1	1	201.114.228.72	dsl-201-114-228-72-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	52	2014-09-01 22:19:56
208	212	foto0-212.jpeg	foto1-212.jpeg	foto2-212.jpeg	foto3-212.jpeg							plano0-212.jpg															Copia del plano.					1	1	187.175.1.141	dsl-187-175-1-141-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-26 12:16:12
209	213	foto0-213.jpg	foto1-213.jpg	foto2-213.jpg	foto3-213.jpg	foto4-213.jpg	foto5-213.jpg					plano0-213.jpg					Vista frontal	Vista lateral	Vista lateral	Vista lateral	Vista interior	Callejón de acceso					Copia del plano.					1	1	187.175.3.127	dsl-187-175-3-127-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-26 20:17:36
